Label	Kalimat
Non_HS	bismillah mugi khusnul khotimah
Non_HS	sial aku hampir tertawa
HS	aku pikir dia hanya setengah gila ternyata gila sepenuhnya
Non_HS	pura pura ga tahu ahh
Non_HS	daripada debat sama cewek mending nguras sumur pakek gelas akua capeknya sama
HS	ketuhanan yang maha ormas
Non_HS	ayah miskin ibu miskin teman teman juga miskin
Non_HS	sekarang aku tersadar cinta yang kutunggu tak dung dung dang dang
HS	nah gitu kalo goblok jangan di pendem tapi di suarakan biar orang tau lu goblok
HS	kepung rumah lonte
Non_HS	itu muka apa gorengan
HS	tersentuh hatiku baangsat
Non_HS	iya maaf
Non_HS	sial aku tertawa
Non_HS	sebera pantaskah kau untuk ku tumbuk
Non_HS	memang semesta lah ahli komedi bro
Non_HS	saya suka posting anda lanjutken
Non_HS	orang kaya memang suka begitu tengil kayak duit bapaknya halal aja
Non_HS	diam saya sedang belajar
Non_HS	ya allah ya robbi
Non_HS	harta tahta hanya titipan
Non_HS	mengoleskan krim penahan rasa ingin hujat
HS	sok iya si lonte ini
Non_HS	kenapa orang orang yang pantas mati malah berumur panjang
Non_HS	apa perlu saya turun tangan
Non_HS	ingat mati ingat sakit ingat saat kau ngetwit
Non_HS	abang tukang bakso pakau walkie talkie kijang satu ganti
Non_HS	mulut siapa itu
Non_HS	permisi jagoan
HS	Gantengnya Kaya anjing lagi jilat 
HS	Bisa nya cuma jilat doang Kaya ANjing
Non_HS	dpr ngelucu presiden pamer cucu
Non_HS	astagfirullah
Non_HS	eh tahan istigfar astagfirullahaladzim
HS	duh rahimku anget mas
HS	Tokopedei
HS	Ganteng Penyayang binatang lagi, sesama binatang emang harus saling menyayangi
Non_HS	hadeh
HS	jokowi asu
HS	Jokowi anjing
Non_HS	gua jomblo karena gua yakin semesta lagi nyiapin seseorang yg paling indah buat gua
Non_HS	gatau aku masi tk
Non_HS	jika kalian bosan like batu ini
Non_HS	lu masih mending lah gua
Non_HS	sopan kh begitu
Non_HS	bismilah rasengan
HS	ayo ngewe
HS	sangee
HS	cipokan yu 
HS	situ gila, Pantesan 
Non_HS	hukumnya dibecandain.. komedinya di baperin
Non_HS	pesona
Non_HS	yaallah yaallah mulu tapi gapernah solat
Non_HS	liat tuh lagi pepet pepetan
HS	indonesia jika indihome tidak kontol
HS	dasar anak dajal
HS	hallo anak haram 
HS	ibumu PSK ya 
Non_HS	apakah anda sudah bersyukur hari ini jika belum bersyukurlah karena masih diberikan nafas untuk hidup
Non_HS	aku ngeluarin eek yang panjang dan besar
Non_HS	huhu
Non_HS	ayo ke psikolog
Non_HS	nackal nackal nackal
Non_HS	punten a tolong banget inimah ya haduh
Non_HS	dih anjrit
HS	gua bunuh lo anjing
HS	gue lempar lo bangsat
Non_HS	di pojok tombol apa tombol save image
Non_HS	apa aku terlihat peduli
HS	dia mana berani muka kek memek 
Non_HS	otak kau menguncup
Non_HS	pengen tak lep
Non_HS	kamulah makhluk tuhan paling seksi yang paling seksi seksi konsumsi
Non_HS	lu bakal di respon kalo lu cakep
Non_HS	tidak boleh seperti anjing
Non_HS	kadang aku bingung kenapa kamu bisa hidup di bumi
Non_HS	kok kamu subuh subuh udah mandi iya mah gerah loh kan kamarmu ber ac
Non_HS	gk jelas ni orang
Non_HS	lu mau gue pukul
HS	ingatlah anak anak tetaplah berada di jalan setan
HS	gajelas ngentot
Non_HS	kalem sodara sodara
HS	Akan anjing pada waktunya
HS	muka Lu kek tai Anjing
HS	borang ahli neraka Aris Aris Aris Aris
HS	PANTESAN KAMU GOBLOK OTAK KAMU PINDAH KESINI
HS	hmm sebentar lagi akan ku sleding kepalanya
Non_HS	katanya Kangen tapi Daritadi "R" doang TUMAN!!
Non_HS	aduh tangan ku gatel pengen nabok orang
Non_HS	ini gan tadi jatoh di jalan
HS	lihat hidupku penuh dengan dosa
HS	dajjal memberkatimu
Non_HS	kami semua serentak mengucapkan gimana ini pak ustadz
HS	kontool
Non_HS	meski dengan saya yang seperti ini jika saya berguna akan saya lakukan dengan sungguh sungguh
Non_HS	belom ngerjain tugas ya
Non_HS	pusing memikirkan kebadutan
Non_HS	pusing dengan kebadutan ini
Non_HS	mencari akhlakmuu
Non_HS	kak kalo ga bisa dimilikin tolong gantengnya di kurangin
Non_HS	sepertinya aku mencium aroma keributan
Non_HS	lihat itu ada orang caper
HS	Muntahkan Ketololan mu 
HS	orang gila baru nih 
HS	mengoleskan Serum ANti BACOT
HS	kek ada yang ngomong ngentot
Non_HS	lihat tidak ada yang perduli
Non_HS	aku mau main kerumah boleh ga aku bawain martabak ni buat ibuk
Non_HS	lebih baik menyesal membeli daripada menyesal tidak membeli
Non_HS	ya allah sabar
HS	Selamat datang orang bodoh ku 
Non_HS	tenang saudara saudara
Non_HS	terdiam melihat kebodohanmu
Non_HS	ngetik apa sih netijen
Non_HS	aduh halunya kebangetan
Non_HS	diam atau ku gampar
Non_HS	ni bocah ngetik apa sih
Non_HS	nyari ribut lu
HS	dut dut Si gendut anak paling nakal
HS	hey kau anak firaun 
HS	sifatmu seperti setan kelaparan
Non_HS	menahan diri untuk tidak menghujatmu
HS	kok lu lebih biadab dari gua si anjincc
Non_HS	ya allah pengen ngatain
Non_HS	sabar masih puasa
HS	petrus jakandor samyang jumanji pepet terus jangan kasih kendor sampe sayang juancok mantap anjing
Non_HS	iri bilang bos
Non_HS	kamu pergi kesana dan jangan pernah kembali
Non_HS	gaskeun
Non_HS	begitu masuk langsung jadi pns
Non_HS	kamu cita citanya mau jadi apa jadi t rex wah kamu mau jadi besar dan kuat ya aku mau punah
Non_HS	coba kau pikirkan coba kau renungkan apa yang pikirkan renungkan apa pikirkan kau
Non_HS	hahaha orang jawa pasti kuli hahaha kevin lupa kalau dia sedang tidak berada di internet
Non_HS	saya tau kaliah sudah tidak konsen bekerja gak usah pura sibuk gitu
HS	jangan lari lari tod bacod tua cucu panteq mampus
HS	renne out miskin taktik buta strategi aki aki goblok
Non_HS	dua babi sedang bertatap muka
Non_HS	gaya kau aja besar otak kau kecil
HS	centil banget si lonte
HS	gerak geriknya ceperti anak haram
HS	bukain anjing
HS	hahaha bodoh sekali dia yang mulia
HS	apa anjing
Non_HS	haruskah ku mandi karenamu
Non_HS	kadang ku tertawa sendiri kadang ku bicara sendiri
Non_HS	karena bagiku kau keponakanku
Non_HS	tujuan saya di united adalah menghadirkan permainan yang menghibur tak terkecuali menghibur fans tim lain
HS	memek memek memek memek memek
HS	satu ditambah satu sama dengan asu
Non_HS	kekuatan seseorang tidak diukur dari kekuatannya tapi diukur dari bagaimana dia berdiri tegap setiap kali dia terjatuh
HS	pertama lo anjing
Non_HS	nggak ngerti apa apa kok ikut demo gagalkan omnibus law tolak omnibuslaw
Non_HS	nggak ngerti apa apa kok jadi presiden tolak omnibus la
HS	tahan tahan gaboleh emosi jangan marah bgst
HS	aduh tolol banget
HS	bacot lu njing
Non_HS	papandayan papan tulis papan kayu papan bawah
HS	terdiam melihat kegoblokanmu
Non_HS	percaya diri adalah pakaian terbaik
HS	ini orang bacot banget deh
HS	bacot sekali lagi gua lempar ke neraka lu
HS	minggiran dikit dong bodohnya
HS	mana bisa anjing
HS	di depan orang tua mu kau mainkan kemaluanku
HS	jangan ngebut bangsat banyak kucing
Non_HS	iya iya ini udah bangun kok
HS	pantesan kamu goblok otak kamu pindah kesini
HS	asw lah punya istri beda agama
HS	tumben sepi biasanya banyak yang gila
HS	ini maksudnya apa anjing
HS	eits tidak boleh begitu wahai lonte
Non_HS	ini gimana pak ustadz
Non_HS	selamat datang di rumah makan bebek selamet kok menunya ayam semua kan bebeknya selamet
Non_HS	gongsi gongsi ayo masuk gausah memei makasih eh kenapa soalnya mau kita bubarin
Non_HS	cari simpati
HS	aaaaa bangsat
HS	anjing gajelas
HS	anjing bisa gitu
HS	tolol
HS	bacot bacot bacot
HS	blok blokgoblokgoblok blok
HS	bajingan seperti itu tidak pantas ditangisi
Non_HS	ya allah seperti biasa aamiin
Non_HS	memikirkan rumitnya hidup ini
Non_HS	ya tuhan aku ga sanggup
HS	mo marah kontollllllll
HS	anak ngentottt
HS	tot Ngentoddddd
HS	ANjim goblokkk
Non_HS	menunggu duit jauh dari langit
HS	memek
HS	indonesia milik banteng merah 
HS	gue gebuk kaget lu njing tukang bak
HS	apasi pasi pasi papasi anjing
HS	cok Jancok
HS	hahaha miskin ga punya duit ya
Non_HS	situ sehat
Non_HS	punten gofud
Non_HS	takbir jangan nih
Non_HS	bukan golongan kami
Non_HS	jika pil kb bisa menunda punya anak maka pilkada tidak bisa ditunda demi anak
HS	Ngotak dong
Non_HS	kepala pundak luhut lagi luhut lagi
Non_HS	astagfirulloh
Non_HS	takbir
